X,Y,Z
-0.0645090789,-0.0010271869,9.9553756714
-0.0402659252,-0.0210550465,9.9451675415
-0.0570227690,0.0219321884,9.9533958435
-0.0815354437,0.0040894998,9.9658584595
-0.0629788041,0.0079324292,9.9540214539
-0.0535810255,0.0078471359,9.9490337372
-0.0650205389,-0.0011878582,9.9491491318
-0.0725827590,0.0104418434,9.9286928177
-0.0648859441,-0.0122388229,9.9220294952
-0.0571231470,-0.0029145184,9.9475212097
-0.0488400795,0.0032423353,9.9359941483
-0.0610174164,0.0258962903,9.9484443665
-0.0599254146,-0.0036483302,9.9394178391
-0.0458005406,-0.0105361249,9.9497280121
-0.0558124520,-0.0003117165,9.9299201965
-0.0432132632,-0.0033298023,9.9185943604
-0.0459921323,0.0100196004,9.9387054443
-0.0743069500,-0.0200518891,9.9392433167
-0.0378186032,-0.0109763741,9.9413700104
-0.0518647879,0.0181464329,9.9479894638
-0.0666318238,-0.0014610244,9.9376659393
-0.0585620105,0.0136648761,9.9372425079
-0.0782905817,-0.0051870923,9.9283390045
-0.0437402055,0.0150771122,9.9284992218
-0.0593425557,-0.0096196253,9.9358654022
-0.0669108927,-0.0081298826,9.9372930527
-0.0481241979,0.0089283641,9.9381694794
-0.0585028902,0.0234617405,9.9594078064
-0.0526504405,0.0118519878,9.9397373199
-0.0526114777,0.0057522152,9.9410552979
-0.0708377659,0.0059761284,9.9424495697
-0.0506294668,-0.0008292431,9.9552221298
-0.0738061816,0.0273688156,9.9300994873
-0.0619983003,-0.0171760432,9.9354391098
-0.0556954294,0.0198005699,9.9487342834
-0.0521906465,0.0063392981,9.9331722260
-0.0375866964,0.0443574861,9.9506149292
-0.0527480394,0.0108069079,9.9467449188
-0.0794676170,0.0181104243,9.9244012833
-0.0581895784,-0.0213409401,9.9394454956
-0.0537220538,0.0044011963,9.9349212646
-0.0781987980,0.0098989652,9.9554958344
-0.0663516074,0.0025519542,9.9420547485
-0.0496218950,-0.0032077336,9.9395198822
-0.0606720448,0.0197181664,9.9388017654
-0.0435928851,0.0205594860,9.9357166290
-0.0494304597,-0.0033596316,9.9542751312
-0.0572983697,-0.0038548794,9.9554977417
-0.0529113039,0.0073353602,9.9553298950
-0.0656719655,-0.0045888880,9.9457139969
-0.0708772168,0.0209699273,9.9409866333
-0.0566842034,-0.0235818941,9.9458312988
-0.0416006967,-0.0068688709,9.9538192749
-0.0680455714,-0.0049344450,9.9402446747
-0.0377883874,0.0175446421,9.9440593719
-0.0595071800,-0.0087216375,9.9469785690
-0.0642886162,0.0388464220,9.9537763596
-0.0702283829,0.0142547349,9.9444341660
-0.0685431808,0.0000195960,9.9511127472
-0.0526486561,0.0098177148,9.9433956146
-0.0723405331,-0.0175936744,9.9371280670
-0.0495480038,-0.0153466873,9.9559307098
-0.0423409753,0.0159098655,9.9338121414
-0.0633893162,0.0164396577,9.9472160339
-0.0710689053,0.0023564531,9.9468650818
-0.0463646241,0.0190003030,9.9582433701
-0.0539285913,0.0338143148,9.9418621063
-0.0695517957,-0.0026023956,9.9425964355
-0.0695745647,0.0034580801,9.9426460266
-0.0538056791,0.0081638331,9.9298801422
-0.0554598868,0.0065155728,9.9522113800
-0.0345080458,-0.0041828994,9.9609441757
-0.0554131530,0.0078840600,9.9495391846
-0.0492853075,0.0207981840,9.9306602478
-0.0647039115,-0.0091050267,9.9438686371
-0.0608291104,0.0140722618,9.9584159851
-0.0775515884,0.0042595160,9.9448585510
-0.0517057553,-0.0303269848,9.9593143463
-0.0539932251,-0.0216716491,9.9442186356
-0.0825143829,-0.0091318935,9.9304256439
-0.0582705438,0.0172968246,9.9433593750
-0.0583927482,-0.0118146203,9.9543628693
-0.0396418832,0.0183078554,9.9251070023
-0.0405770689,-0.0156465694,9.9538202286
-0.0504859574,0.0144954696,9.9318218231
-0.0701601952,0.0088719055,9.9630393982
-0.0453955755,0.0238812529,9.9483795166
-0.0514791906,-0.0025094836,9.9598083496
-0.0522986650,0.0140369460,9.9586400986
-0.0827672482,0.0145712616,9.9314689636
-0.0818339437,0.0148308221,9.9588088989
-0.0487112254,0.0119301081,9.9346275330
-0.0560149215,-0.0088848397,9.9459953308
-0.0547722802,-0.0186484437,9.9280176163
-0.0509156808,0.0074352133,9.9492893219
-0.0603397340,-0.0039434326,9.9614543915
-0.0663032830,0.0018925404,9.9503459930
-0.0531558804,-0.0200706199,9.9657554626
-0.0560961552,0.0185011085,9.9457054138
-0.0423948467,0.0088651236,9.9583854675
-0.0354354531,0.0031521702,9.9335432053
-0.0362191312,-0.0151300356,9.9584541321
-0.0400324091,-0.0019640194,9.9386959076
-0.0420186073,0.0041372497,9.9431562424
-0.0636361241,0.0154585363,9.9605255127
-0.0346915834,-0.0153259272,9.9496955872
-0.0569289327,0.0060492167,9.9657802582
-0.0603465736,0.0115316231,9.9524364471
-0.0550578423,0.0152713452,9.9533081055
-0.0477191508,0.0194497649,9.9499969482
-0.0603285953,0.0187310129,9.9403705597
-0.0595150962,-0.0007298850,9.9486875534
-0.0468756519,0.0086894287,9.9556541443
-0.0337176286,0.0046186196,9.9713687897
-0.0522612110,0.0058458778,9.9342613220
-0.0708731115,-0.0024136167,9.9442634583
-0.0453061238,0.0170665625,9.9332427979
-0.0632604808,0.0017468524,9.9465656281
-0.0530587584,0.0093259597,9.9636125565
-0.0412982777,-0.0060604340,9.9578952789
-0.0652322620,0.0096103046,9.9419946671
-0.0665500611,0.0055888863,9.9592990875
-0.0735001937,-0.0070214230,9.9541950226
-0.0597732663,-0.0072010290,9.9592342377
-0.0591033697,0.0191006064,9.9414615631
-0.0552969500,0.0127630886,9.9648828506
-0.0678392202,-0.0109276567,9.9447517395
-0.0327412114,-0.0000739293,9.9488649368
-0.0542081520,0.0175570212,9.9416980743
-0.0548434481,-0.0079572219,9.9470663071
-0.0766172856,0.0005795683,9.9585342407
-0.0430811457,0.0004106455,9.9534893036
-0.0594622195,-0.0158017837,9.9447078705
-0.0526237264,0.0142267607,9.9217662811
-0.0543730073,0.0102497116,9.9575300217
-0.0639881268,0.0122068273,9.9651880264
-0.0518804602,0.0182749704,9.9487895966
-0.0485536009,0.0096524563,9.9520397186
-0.0661081001,0.0002707890,9.9456987381
-0.0551854745,0.0072224312,9.9725036621
-0.0728446245,0.0225208923,9.9236345291
-0.0626743883,-0.0141543522,9.9519538879
-0.0588472709,0.0063583604,9.9457111359
-0.0518804602,0.0128516369,9.9600124359
-0.0400661081,-0.0121086119,9.9323148727
-0.0625306815,-0.0226587988,9.9481811523
-0.0560908094,-0.0007096909,9.9488620758
-0.0540463626,0.0116873253,9.9404001236
-0.0498178452,0.0136186667,9.9636859894
-0.0538825244,-0.0131172510,9.9541711807
-0.0429858938,-0.0192566663,9.9263572693
-0.0629963651,-0.0006712239,9.9287433624
-0.0581191033,0.0134117128,9.9472942352
-0.0594069287,-0.0086966790,9.9598331451
-0.0544216819,0.0110761113,9.9738683701
-0.0514477491,-0.0116108162,9.9540929794
-0.0576604977,0.0096410727,9.9536161423
-0.0548488051,0.0259684529,9.9575309753
-0.0474535972,0.0016877069,9.9489011765
-0.0446947366,-0.0059399754,9.9449977875
-0.0539064109,0.0077120033,9.9790534973
-0.0708134174,0.0100004328,9.9353361130
-0.0587305017,0.0048995879,9.9569740295
-0.0516617447,0.0056171510,9.9432659149
-0.0481257960,0.0116187967,9.9362545013
-0.0537604019,0.0070435982,9.9628076553
-0.0449686199,0.0070239850,9.9738178253
-0.0597769953,0.0048671518,9.9475421906
-0.0742746443,0.0119192898,9.9475383759
-0.0657952130,-0.0066982163,9.9542522430
-0.0657070503,-0.0056419154,9.9577560425
-0.0502196103,-0.0021465765,9.9212512970
-0.0648800135,0.0040109861,9.9539642334
-0.0559184924,0.0083243074,9.9442024231
-0.0632590279,0.0149574876,9.9557151794
-0.0461087637,-0.0150669385,9.9511108398
-0.0747738183,0.0016552823,9.9650697708
-0.0664631575,-0.0009862463,9.9512691498
-0.0672745332,0.0013341992,9.9728784561
-0.0618333369,0.0017980969,9.9461116791
-0.0378993116,0.0017893859,9.9389314651
-0.0621792376,-0.0066080219,9.9445571899
-0.0480501726,-0.0250424128,9.9577751160
-0.0592229851,0.0006495494,9.9579162598
-0.0641798526,0.0182638280,9.9540157318
-0.0450665429,0.0058623394,9.9515113831
-0.0513998270,-0.0089946520,9.9448623657
-0.0533258766,0.0046024816,9.9341506958
-0.0543822721,-0.0147886956,9.9488935471
-0.0552813932,-0.0085030999,9.9494037628
-0.0425366089,0.0075084735,9.9697895050
-0.0554237664,0.0100594927,9.9572887421
-0.0656374544,0.0192121118,9.9359397888
-0.0720558465,0.0055696908,9.9272499084
-0.0533335954,0.0249150135,9.9613685608
-0.0593200997,-0.0065866187,9.9537467957
-0.0488098525,-0.0017496250,9.9541034698
-0.0654523745,0.0084843319,9.9257621765
-0.0462222733,0.0069246255,9.9039955139
-0.0400548391,-0.0114880037,9.9478378296
-0.0760554597,0.0093006976,9.9331665039
-0.0622339100,0.0199447405,9.9502010345
-0.0492060892,0.0067806654,9.9520654678
-0.0706981421,0.0084608542,9.9477405548
-0.0633771867,0.0157502443,9.9571247101
-0.0544876903,0.0328527167,9.9633045197
-0.0590318628,0.0121424627,9.9631614685
-0.0699777454,0.0255505461,9.9551639557
-0.0496522747,-0.0029210127,9.9431190491
-0.0544806495,-0.0144789619,9.9634819031
-0.0411586165,0.0019109091,9.9515581131
-0.0544777699,0.0071969554,9.9511871338
-0.0376615077,-0.0015802945,9.9534883499
-0.0656041652,0.0051649706,9.9466209412
-0.0505314358,-0.0022781631,9.9385871887
-0.0439712666,0.0125589781,9.9594364166
-0.0499137491,0.0062382086,9.9634170532
-0.0352351815,0.0093270810,9.9430341721
-0.0662008822,-0.0130762151,9.9432277679
-0.0483240038,-0.0038078567,9.9445400238
-0.0695137531,-0.0030483305,9.9468841553
-0.0439825803,-0.0019702301,9.9194831848
-0.0693165958,0.0140718743,9.9387931824
-0.0388933942,0.0140131079,9.9411239624
-0.0680978894,0.0057610259,9.9353580475
-0.0518285930,-0.0114599541,9.9598770142
-0.0501128398,0.0024365289,9.9410676956
-0.0499534681,0.0012921272,9.9483375549
-0.0536530018,0.0175472647,9.9479589462
-0.0280652642,0.0281748753,9.9419927597
-0.0486438349,0.0116355084,9.9502315521
-0.0508890450,-0.0065105790,9.9532613754
-0.0610731542,0.0116681103,9.9337759018
-0.0653987080,-0.0120274965,9.9661941528
-0.0579005480,0.0012389510,9.9589424133
-0.0671749339,0.0048990925,9.9540843964
-0.0702177212,0.0151814856,9.9594841003
-0.0512007102,0.0075443937,9.9710636139
-0.0469896942,0.0070222206,9.9610614777
-0.0330459848,-0.0006011957,9.9412956238
-0.0714221895,0.0012920471,9.9665546417
-0.0577740557,-0.0080811717,9.9609088898
-0.0690423176,0.0029712934,9.9605436325
-0.0531126186,0.0159798227,9.9358692169
-0.0647608638,0.0027428968,9.9456825256
-0.0693324804,-0.0140402000,9.9560623169
-0.0510235280,-0.0022099540,9.9619913101
-0.0684692711,-0.0016025743,9.9557304382
-0.0609389357,0.0163767859,9.9501276016
-0.0716052055,0.0072208038,9.9811973572
-0.0475807264,0.0027851826,9.9521808624
-0.0425876640,-0.0062403036,9.9593124390
-0.0397839770,-0.0020399289,9.9433250427
-0.0396753699,0.0077273403,9.9541654587
-0.0755864233,0.0153030287,9.9642982483
-0.0403421000,0.0075867726,9.9506912231
-0.0612062439,0.0052612335,9.9416656494
-0.0618168004,0.0282604825,9.9683361053
-0.0549930856,0.0156616028,9.9525604248
-0.0616557375,0.0208290871,9.9529533386
-0.0568610653,0.0052846246,9.9487485886
-0.0328876972,0.0010044896,9.9585971832
-0.0642813668,0.0061282273,9.9411029816
-0.0520082638,0.0231361464,9.9648151398
-0.0600281656,0.0190032478,9.9525146484
-0.0629532039,0.0135813178,9.9513568878
-0.0571199059,-0.0212467182,9.9404010773
-0.0499357767,0.0056190658,9.9457483292
-0.0556635931,0.0128758280,9.9591732025
-0.0240172334,0.0207534786,9.9473676682
-0.0498230010,0.0076308977,9.9328765869
-0.0595167801,0.0067597847,9.9271211624
-0.0472881943,0.0179646257,9.9489431381
-0.0853333026,0.0318823196,9.9568157196
-0.0518290028,-0.0282324161,9.9371929169
-0.0487995893,-0.0207224898,9.9545993805
-0.0400427133,-0.0081757912,9.9540081024
-0.0381446145,0.0071864389,9.9632434845
-0.0624753162,-0.0203399360,9.9550285339
